Postcode,Today [2023-10-19],This week,Total cases,Today (per 100 ppl),This week (per 100 ppl),Total cases (per 100 ppl)
2735,0,0,106,0,0,24.31192660550459
2736,0,0,96,0,0,25.196850393700785
2737,0,0,258,0,0,32.29036295369212
2738,0,0,865,0,0,50.82256169212691
2739,0,0,512,0,0,35.95505617977528
2745,6,17,16922,0.018632961709263686,0.05279339150958045,52.55116300736002
2747,2,12,29881,0.003944695370899982,0.023668172225399894,58.93572118893119
2748,0,1,787,0,0.04627487274409996,36.41832484960667
2749,3,3,9392,0.015509486635992348,0.015509486635992348,48.555032828413374
2750,3,13,26825,0.006267758649506936,0.027160287481196723,56.04420859100785
2752,0,2,2808,0,0.03654970760233918,51.315789473684205
2753,0,2,8413,0,0.011134617525887985,46.83776862264781
2754,0,0,3577,0,0,57.17710997442455
2756,1,5,16676,0.002822705845823807,0.014113529229119034,47.0714426849578
2757,0,0,376,0,0,43.31797235023041
2758,0,1,3796,0,0.010991426687183996,41.723455704550446
2759,0,5,14241,0,0.01845972088902016,52.57697703610721
2760,1,13,20776,0.0026824753882883127,0.034872180047748065,55.73110866707798
2761,2,15,19584,0.005864930647195097,0.04398697985396323,57.42940089733439
2762,0,6,12747,0,0.04377006127808579,92.98949518529326
2763,1,6,18404,0.0030340726356988985,0.01820443581419339,55.83907278740253
2765,0,18,26115,0,0.05908225562922602,85.71850587540209
2766,1,9,9603,0.005955571437079388,0.05360014293371449,57.19135251027336
2767,0,7,12776,0,0.028123744475693047,51.32985134592205
2768,1,9,15985,0.0032660526487686982,0.029394473838918283,52.20785159056764
2769,0,3,8915,0,0.019682456370555046,58.48969951449941
2770,1,10,32695,0.0015616215878568305,0.015616215878568304,51.057217814979076
2773,0,0,3115,0,0,49.895883389396126
2774,0,3,6972,0,0.022529288074496848,52.35806548513067
2775,0,0,409,0,0,26.404131697869595
2776,1,1,2078,0.024975024975024976,0.024975024975024976,51.8981018981019
2777,0,1,9185,0,0.0055875286360842595,51.32145052243392
2778,1,2,1225,0.04008016032064128,0.08016032064128256,49.09819639278557
2779,0,1,2503,0,0.01967342120794806,49.242573283493996
2780,0,3,5562,0,0.02145308924485126,39.77402745995423
2782,0,0,2722,0,0,43.48242811501597
2783,0,0,1266,0,0,47.719562759140594
2784,0,0,588,0,0,45.16129032258065
2785,0,1,1948,0,0.02108370229812355,41.07105207674467
2786,0,0,438,0,0,31.37535816618911
2787,0,1,1701,0,0.022192632046160676,37.74966711051931
2790,0,2,6319,0,0.012542330364981813,39.62749278816004
2791,0,0,112,0,0,32.369942196531795
2792,0,0,140,0,0,34.65346534653465
2793,0,0,290,0,0,29.292929292929294
2794,0,2,4079,0,0.01891610706516599,38.57940035940604
2795,1,7,23351,0.002208773247338428,0.015461412731368997,51.577064098599635
2797,0,1,146,0,0.2304147465437788,33.64055299539171
2798,0,0,981,0,0,45.45875810936052
2799,0,0,2011,0,0,48.31811629024507
2800,0,4,25245,0,0.0084233579716554,53.16191799861014
2803,0,0,88,0,0,31.54121863799283
2804,0,0,1022,0,0,37.17715532921062
2805,0,0,138,0,0,33.57664233576642
2806,0,0,279,0,0,33.01775147928994
2807,0,0,130,0,0,31.026252983293553
2808,0,0,55,0,0,29.569892473118276
2809,0,0,59,0,0,25.213675213675213
2810,0,0,926,0,0,29.851708575112834
2817,0,0,85,0,0,29.41176470588235
2818,0,0,408,0,0,44.01294498381877
2820,0,0,3099,0,0,39.78687893182694
2821,0,0,2198,0,0,45.441389290882775
2822,0,0,172,0,0,39.002267573696145
2823,0,0,470,0,0,33.764367816091955
2824,0,0,784,0,0,37.52991862134993
2825,0,0,970,0,0,42.0824295010846
2826,0,0,60,0,0,31.746031746031743
2827,0,0,1496,0,0,40.36697247706422
2828,0,1,246,0,0.12437810945273632,30.597014925373134
2829,2,5,1245,0.06457862447529868,0.16144656118824668,40.20019373587343
2830,0,3,25571,0,0.006885471654808354,58.68946522836814
2831,0,0,769,0,0,39.27477017364658
2832,0,0,765,0,0,30.526735833998405
2833,0,0,238,0,0,38.573743922204216
2834,0,0,644,0,0,29.166666666666668
2835,0,0,1433,0,0,35.382716049382715
2836,0,0,376,0,0,39.33054393305439
2838,0,0,94,0,0,41.409691629955944
2839,0,0,398,0,0,29.657228017883757
2840,0,0,1054,0,0,39.743589743589745
2842,0,0,204,0,0,33.497536945812804
2843,0,0,410,0,0,31.490015360983104
2844,0,0,460,0,0,31.78991015894955
2845,0,0,1028,0,0,51.42571285642821
2846,0,0,79,0,0,27.054794520547944
2847,0,0,946,0,0,37.629276054097055
2848,1,1,533,0.060496067755595885,0.060496067755595885,32.24440411373261
2849,1,2,535,0.06369426751592357,0.12738853503184713,34.07643312101911
2850,0,0,8089,0,0,43.189705803833625
2852,0,1,1495,0,0.027502750275027504,41.11661166116612
2864,0,0,357,0,0,41.705607476635514
2865,0,0,340,0,0,39.58090803259604
2866,0,0,1355,0,0,42.42329367564183
2867,0,0,254,0,0,41.70771756978653
2868,0,0,226,0,0,32.42467718794835
2869,0,0,463,0,0,32.26480836236934
2870,0,0,5556,0,0,45.53725104499631
2871,0,1,3421,0,0.01039609106975777,35.565027549641336
2873,0,0,137,0,0,24.119718309859152
2874,0,0,137,0,0,33.091787439613526
2875,0,0,289,0,0,29.94818652849741
2876,0,0,177,0,0,42.65060240963855
2877,0,1,1248,0,0.026595744680851064,33.191489361702125
2878,0,0,88,0,0,25.88235294117647
2879,0,0,225,0,0,38.265306122448976
2880,0,2,8094,0,0.011276499774470004,45.63599458728011
